season,phase,date,home_team,away_team,home_goals,away_goals,result,goal_diff,total_goals,home_pts,away_pts
2015,Apertura,2015-01-01,Deportivo Cali,Atlético Nacional,2,0,H,2,2,3,0
2015,Apertura,2015-01-01,Deportivo Cali,Junior,1,0,H,1,1,3,0
2015,Apertura,2015-01-01,Alianza Petrolera,Millonarios,2,0,H,2,2,3,0
2015,Apertura,2015-01-01,Alianza Petrolera,Pasto,3,1,H,2,4,3,0
2015,Apertura,2015-01-01,Envigado,Deportivo Cali,1,5,A,-4,6,0,3
2015,Apertura,2015-01-01,La Equidad,Pasto,0,1,A,-1,1,0,3
2015,Apertura,2015-01-02,Envigado,Águilas Doradas,0,0,D,0,0,1,1
2015,Apertura,2015-01-02,Águilas Doradas,Medellín,1,2,A,-1,3,0,3
2015,Apertura,2015-01-02,Deportivo Cali,Águilas Doradas,0,2,A,-2,2,0,3
2015,Apertura,2015-01-02,Pasto,Once Caldas,3,2,H,1,5,3,0
2015,Apertura,2015-01-02,Deportivo Pereira,Bucaramanga,0,0,D,0,0,1,1
2015,Apertura,2015-01-02,Pasto,Águilas Doradas,3,0,H,3,3,3,0
2015,Apertura,2015-01-03,Millonarios,Deportivo Cali,2,1,H,1,3,3,0
2015,Apertura,2015-01-03,Bucaramanga,Tolima,4,1,H,3,5,3,0
2015,Apertura,2015-01-03,Santa Fe,Junior,0,1,A,-1,1,0,3
2015,Apertura,2015-01-05,La Equidad,Patriotas,1,2,A,-1,3,0,3
2015,Apertura,2015-01-05,Unión Magdalena,Boyacá Chicó,1,1,D,0,2,1,1
2015,Apertura,2015-01-05,Once Caldas,Alianza Petrolera,0,1,A,-1,1,0,3
2015,Apertura,2015-01-05,América de Cali,Águilas Doradas,2,2,D,0,4,1,1
2015,Apertura,2015-01-05,Bucaramanga,Boyacá Chicó,0,1,A,-1,1,0,3
2015,Apertura,2015-01-05,Jaguares,Once Caldas,0,1,A,-1,1,0,3
2015,Apertura,2015-01-05,Medellín,Pasto,1,1,D,0,2,1,1
2015,Apertura,2015-01-05,Pasto,Deportivo Cali,1,2,A,-1,3,0,3
2015,Apertura,2015-01-07,Patriotas,Junior,1,1,D,0,2,1,1
2015,Apertura,2015-01-07,Boyacá Chicó,Deportivo Pereira,0,2,A,-2,2,0,3
2015,Apertura,2015-01-07,Medellín,América de Cali,0,0,D,0,0,1,1
2015,Apertura,2015-01-11,Once Caldas,La Equidad,2,0,H,2,2,3,0
2015,Apertura,2015-01-11,Patriotas,Envigado,1,0,H,1,1,3,0
2015,Apertura,2015-01-12,Deportivo Cali,Bucaramanga,4,0,H,4,4,3,0
2015,Apertura,2015-01-13,Bucaramanga,Unión Magdalena,1,3,A,-2,4,0,3
2015,Apertura,2015-01-14,Águilas Doradas,La Equidad,1,0,H,1,1,3,0
