pos,team,pj,g,e,p,gf,gc,dif,pts
1,Internacional,7,4,2,1,11,10,1,14
2,Deportivo Pasto,7,4,2,1,8,7,1,14
3,Deportes Tolima,7,3,3,1,8,4,4,12
4,Junior,6,4,0,2,9,6,3,12
5,Bucaramanga,6,2,4,0,8,2,6,10
6,Deportivo Cali,7,3,1,3,8,5,3,10
7,América de Cali,5,3,1,1,8,5,3,10
8,Once Caldas,7,3,1,3,10,9,1,10
9,Fortaleza,7,3,1,3,7,8,-1,10
10,Jaguares,7,3,1,3,11,13,-2,10
11,Atlético Nacional,6,2,3,1,11,4,7,9
12,Llaneros,7,2,3,2,9,8,1,9
13,Águilas Doradas,6,2,2,2,6,6,0,8
14,Millonarios,7,2,2,3,10,11,-1,8
15,Santa Fe,7,2,1,4,7,10,-3,7
16,Medellín,7,1,3,3,7,10,-3,6
17,Boyacá Chicó,6,1,1,4,5,10,-5,4
18,Deportivo Pereira,6,0,3,3,5,10,-5,3
19,Cúcuta Deportivo,7,0,3,4,3,9,-6,3
20,Alianza FC,6,0,3,3,3,9,-6,3
